key,value
S_CLKH,0:0.13|30:0.135|60:0.139|90:0.1|120:0.071|150:0.06|180:0.054|210:0.048|240:0.049|270:0.046|300:0.048|330:0.05|360:0.067|390:0.004
D024_GATE_00_gate_5_emission_p1,"PASS|46 keys, set-identical to the part-1 manifest"
D024_GATE_01_gate_1_timezone__p1,"PASS|both legs 08:31-16:00 — Chicago stamps, L-021 signature"
D024_GATE_02_gate_4_geometry__p1,PASS|S-USED 390b/3.0blk; S-HALF 390b/3.0blk
D024_GATE_03_gate_5_emission_p2,"PASS|48 keys, set-identical to the part-2 manifest"
D024_GATE_04_gate_1_timezone__p2,"PASS|both legs 08:31-16:00 — Chicago stamps, L-021 signature"
D024_GATE_05_gate_4_geometry__p2,PASS|S-RTH 390b/3.0blk; S-SETTLE 330b/2.0blk
D024_GATE_06_gate_5_emission_p3,"PASS|33 keys, set-identical to the part-3 manifest"
D024_GATE_07_gate_1_timezone__p3,PASS|extended span delivered (not the regular 08:31-16:00)
D024_GATE_08_gate_4_geometry__p3,"PASS|S-CASH medbars=400 (density-gated, not bar-gated)"
D024_GATE_09_gate_2_reproduction,PASS|60 cells reproduced exactly
D024_GATE_10_gate_2_VR_reproduce,PASS|48 VR cells reproduced
D024_GATE_11_gate_3_banked_build,PASS|gate/build/holidays reproduce the banked Treasury values
D024_GATE_12_gate_3_identity,"PASS|7 pre-filter diagnostics identical across parts [1, 2]"
D024_GATE_13_S-CASH-ENABLE,PASS|5 construction witnesses identical under the extended fetch (factor tables character-for-character)
D024_GATE_14_S-CASH_coverage,"PASS|ZF=1.000, ZN=1.000"
D024_SCASH_ARM,ENABLED
RUNS,"Emotional Blue Cobra,Upgraded Magenta kitten,Dancing Red Orange Rat"
