key,value
S_FLAG_ZT230831,sr=-0.0614|gap=0.4312|thr=0.05|mad=0.0|ratio=0.14|gapshaped=0|why=sign_mismatch
S_GATE,PASS|both legs adjudicated non-gap-shaped
S_KEYS,47
S_BUILD_ZT,rolls=27|flags=1|med_ovl=390|nonmedian=0
S_HOLIDAYS,n=96|memorial21=1|span=2018-2027
S_ALIGN,rawbars=780600|rawdays=1746|first=2019-06-03|last=2026-04-24
S_GEOS,bars=573600|sessions=1746|medbars=330|want=330|blocks_q120=2.0|dropA=0|dropB=0
S_GEOR,bars=677100|sessions=1746|medbars=390|want=390|blocks_q120=3.0|dropA=0|dropB=0
S_CLKR,0:0.127|30:0.119|60:0.136|90:0.105|120:0.083|150:0.07|180:0.057|210:0.054|240:0.047|270:0.045|300:0.046|330:0.046|360:0.062|390:0.005
S_CLKS,0:0.124|30:0.126|60:0.158|90:0.121|120:0.089|150:0.081|180:0.066|210:0.063|240:0.06|270:0.053|300:0.056|330:0.003
S_GEOH,bars=676470|sessions=1746|medbars=390|want=390|blocks_q120=3.0|dropA=0|dropB=0
S_GEOU,bars=675840|sessions=1746|medbars=390|want=390|blocks_q120=3.0|dropA=0|dropB=0
S_CLKU,0:0.133|30:0.123|60:0.143|90:0.108|120:0.074|150:0.062|180:0.055|210:0.049|240:0.048|270:0.045|300:0.046|330:0.046|360:0.062|390:0.005
S_CLKH,0:0.134|30:0.122|60:0.141|90:0.103|120:0.081|150:0.064|180:0.057|210:0.049|240:0.047|270:0.047|300:0.046|330:0.048|360:0.058|390:0.003
D024_GATE_00_gate_5_emission_p1,"PASS|47 keys, set-identical to the part-1 manifest"
D024_GATE_01_gate_1_timezone__p1,"PASS|both legs 08:31-16:00 — Chicago stamps, L-021 signature"
D024_GATE_02_gate_4_geometry__p1,PASS|S-USED 390b/3.0blk; S-HALF 390b/3.0blk
D024_GATE_03_gate_5_emission_p2,"PASS|49 keys, set-identical to the part-2 manifest"
D024_GATE_04_gate_1_timezone__p2,"PASS|both legs 08:31-16:00 — Chicago stamps, L-021 signature"
D024_GATE_05_gate_4_geometry__p2,PASS|S-RTH 390b/3.0blk; S-SETTLE 330b/2.0blk
D024_GATE_06_gate_5_emission_p3,"PASS|34 keys, set-identical to the part-3 manifest"
D024_GATE_07_gate_1_timezone__p3,PASS|extended span delivered (not the regular 08:31-16:00)
D024_GATE_08_gate_4_geometry__p3,"PASS|S-CASH medbars=400 (density-gated, not bar-gated)"
D024_GATE_09_gate_2_reproduction,PASS|60 cells reproduced exactly
D024_GATE_10_gate_2_VR_reproduce,PASS|48 VR cells reproduced
D024_GATE_11_gate_3_banked_build,PASS|gate/build/holidays reproduce the banked Treasury values
D024_GATE_12_gate_3_identity,"PASS|7 pre-filter diagnostics identical across parts [1, 2]"
D024_GATE_13_S-CASH-ENABLE,PASS|6 construction witnesses identical under the extended fetch (factor tables character-for-character)
D024_GATE_14_S-CASH_coverage,"PASS|ZT=1.000, ZN=1.000"
D024_SCASH_ARM,ENABLED
RUNS,"Casual Fluorescent Yellow Eagle,Square Tan Pig,Swimming Black Elephant"
