key,value
D024_GATE_04_gate_1_timezone__p2,"PASS|both legs 08:31-16:00 — Chicago stamps, L-021 signature"
D024_GATE_05_gate_4_geometry__p2,PASS|S-RTH 390b/3.0blk; S-SETTLE 330b/2.0blk
D024_GATE_06_gate_5_emission_p3,"PASS|34 keys, set-identical to the part-3 manifest"
D024_GATE_07_gate_1_timezone__p3,PASS|extended span delivered (not the regular 08:31-16:00)
D024_GATE_08_gate_4_geometry__p3,"PASS|S-CASH medbars=400 (density-gated, not bar-gated)"
D024_GATE_09_gate_2_reproduction,PASS|60 cells reproduced exactly
D024_GATE_10_gate_2_VR_reproduce,PASS|48 VR cells reproduced
D024_GATE_11_gate_3_banked_build,PASS|gate/build/holidays reproduce the banked Treasury values
D024_GATE_12_gate_3_identity,"PASS|7 pre-filter diagnostics identical across parts [1, 2]"
D024_GATE_13_S-CASH-ENABLE,PASS|6 construction witnesses identical under the extended fetch (factor tables character-for-character)
D024_GATE_14_S-CASH_coverage,"PASS|ZT=1.000, ZF=1.000"
D024_SCASH_ARM,ENABLED
RUNS,"Hyper Active Tan Gaur,Hyper Active Fluorescent Pink Guanaco,Emotional Blue Caterpillar"
